JIRA_ID,SUMMARY,TEAM,DESCRIPTION,CLUSTER_ID
PROJ-101,New Profile Management Screen,Alpha,"The current user settings UI is deprecated. Develop a modern React-based screen for users to change their name, email, and password.",0
PROJ-102,Refactor API Gateway for v2,Alpha,Standardize response codes and endpoint naming conventions for the external-facing API for better monitoring.,1
PROJ-103,Fix bug in login authentication flow,Alpha,A critical bug where users are logged out after 30 minutes due to an expired token needs immediate fix.,0
PROJ-104,Update Customer Account Details,Beta,The primary goal is to provide a single page where users can manage their personal information and preferences. This must include name and contact details.,0
PROJ-105,Improve Database Query Performance,Beta,Analyze slow queries on the main production database and implement indexing improvements for faster reads.,-1
PROJ-106,Feature: Allow users to edit personal info,Delta,"Create a new REST API endpoint for authenticated users to securely modify their basic personal details (first name, last name). Dependency for mobile app.",0
PROJ-107,Develop Internal Dashboard for Sales,Gamma,Build a dashboard using Tableau to visualize monthly recurring revenue (MRR) and customer churn rates across all product tiers.,-1
PROJ-108,New Sign-Up and Login Experience,Gamma,"Overhaul the sign-up process, including email verification and social media login options.",0
PROJ-109,Migrate legacy reporting database,Epsilon,Shift the old SQL Server data store used by the legacy reporting engine to a cloud-hosted PostgreSQL instance for better performance.,-1
PROJ-110,Integrate SSO with Azure AD,Zeta,We need to integrate with Azure Active Directory (AAD) to allow Enterprise clients to sign in using their Single Sign-On credentials.,0
PROJ-111,Research New Payment Processor,Alpha,Investigate options for switching from Stripe to Adyen to reduce transaction fees by 15%.,-1
PROJ-112,Develop New Auth Microservice,Zeta,"Design and build a standalone microservice to handle all user login, token management, and sign-up flows. This will replace the current in-app utility.",0
PROJ-113,Update Legal Privacy Policy Document,Beta,Review and update the privacy policy to comply with new GDPR regulations coming into effect next quarter.,-1
PROJ-114,Add Monitoring to Core Services,Alpha,Implement Prometheus and Grafana for better logging and alerting on service health and latency.,-1
PROJ-115,Mobile App: Profile Editing Flow,Delta,Design the front-end user experience for editing core account details within the native iOS and Android applications.,0
PROJ-116,Update application footer design,Beta,Refresh the look and feel of the website footer across all static pages to match the new branding guidelines.,2
PROJ-117,Implement Caching Layer,Alpha,Add Redis caching layer to product catalog lookup service to reduce load on the primary database.,-1
PROJ-118,User Details CRUD API,Beta,"Full Create, Read, Update, Delete endpoint set for managing the user entity in the backend service.",0
PROJ-119,Build email template service,Gamma,Create a dedicated microservice to handle the creation and delivery of all system notification emails.,-1
PROJ-120,Allow password reset via SMS,Zeta,Implement a secure flow for users to reset their forgotten passwords using a temporary code sent to their registered phone number.,0
PROJ-121,Refactor Order Service Logic,Alpha,Clean up and reorganize the code within the order processing service to improve maintainability and performance.,1
PROJ-122,Fix Billing PDF Generation Bug,Epsilon,A bug is causing the total amount field on the invoice PDF to be incorrect when discounts are applied.,-1
PROJ-123,Web login with social media,Gamma,"Add Google and Facebook login buttons to the sign-in page, integrating with their respective APIs.",0
PROJ-124,Improve checkout abandonment tracking,Beta,Integrate new analytics events into the checkout funnel to better measure where users drop off.,-1
PROJ-125,Update User Settings Backend,Alpha,Modify the primary backend service to handle and validate all user profile update requests.,0
PROJ-126,Add search functionality to docs,Delta,"Implement a full-text search engine (e.g., Elasticsearch) for searching across all help center documentation.",3
PROJ-127,Two-Factor Authentication (2FA),Zeta,Roll out optional 2FA for all users to enhance account security.,0
PROJ-128,Optimize Image Loading,Epsilon,Implement lazy loading and WebP conversion for all large images on the product pages.,-1
PROJ-129,API for updating user profiles,Delta,Dedicated API for mobile clients to securely update user profile data.,0
PROJ-130,Introduce Feature Flags,Alpha,"Implement a feature flagging system (e.g., LaunchDarkly) to enable/disable features in production without code deployment.",-1
PROJ-131,Single Sign-On (SSO) integration,Gamma,Implement SAML 2.0 protocol for secure Enterprise client access.,0
PROJ-132,Fix reporting data inconsistency,Epsilon,Investigate and fix issues where the data warehouse reports differ from the live production figures.,-1
PROJ-133,Mobile Login Flow Upgrade,Zeta,Improve the speed and reliability of the authentication process in the iOS and Android apps.,0
PROJ-134,Build custom analytics pipeline,Beta,Set up a Kafka pipeline to stream all user event data for real-time analysis.,4
PROJ-135,Update copyright year in footer,Alpha,Simple task to change the copyright year displayed on the website footer to 2025.,2
PROJ-136,User Profile Edit Page V2,Alpha,Next iteration of the front-end profile management screen with new accessibility features.,0
PROJ-137,Customer Info Update Service,Beta,Backend service dedicated to handling requests to modify non-sensitive customer attributes.,0
PROJ-138,User Authentication Token Refresh,Zeta,Logic for securely generating and refreshing JWT tokens during user session lifetime.,0
PROJ-139,Refactor CSS Architecture,Delta,Move all CSS to use a BEM methodology for better long-term styling maintenance.,-1
PROJ-140,Web Security: Session Management,Zeta,Overhaul how user sessions are managed and terminated across the application for security compliance.,0
PROJ-141,Implement fraud detection system,Epsilon,Integrate a third-party service to score transactions for potential fraud risk.,-1
PROJ-142,Backend User Data Model Update,Delta,Update the structure of the user object in the main database to support new fields like preferred language.,0
PROJ-143,A/B Test Landing Page Copy,Gamma,Design and run an A/B test on two versions of the main landing page headline to measure conversion rate impact.,-1
